match_id,game_datetime,game_length,game_variation,game_version,tft_set_number
BR1_1928659849,2020-04-28 00:55:18,2020.701904296875,TFT3_GameVariation_MidGameFoN,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1927382498,2020-04-26 20:06:16,2116.612060546875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1926561073,2020-04-25 23:58:52,2285.078857421875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928077500,2020-04-27 16:53:30,2328.198486328125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928435257,2020-04-27 21:02:14,2165.236328125,TFT3_GameVariation_FreeNeekos,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1923048594,2020-04-22 21:08:39,2133.477783203125,TFT3_GameVariation_MidGameFoN,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931366986,2020-04-30 15:27:40,2392.39306640625,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928113025,2020-04-27 15:56:03,2267.025146484375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1930373268,2020-04-29 13:07:54,2261.57861328125,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1929382296,2020-04-28 18:48:57,2187.847412109375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931240757,2020-04-30 04:23:18,2307.273193359375,TFT3_GameVariation_MidGameFoN,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931194696,2020-04-30 05:00:37,2422.923095703125,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928356003,2020-04-27 19:49:22,2348.38134765625,TFT3_GameVariation_BigLittleLegends,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1932190047,2020-05-01 04:15:20,2293.864990234375,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931687629,2020-04-30 23:29:50,2353.89599609375,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1926985890,2020-04-26 13:36:15,2100.43896484375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928069200,2020-04-27 17:08:55,2263.394775390625,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1930520331,2020-04-29 17:47:36,2502.80712890625,TFT3_GameVariation_Bonanza,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1927653565,2020-04-27 00:42:39,2279.358154296875,TFT3_GameVariation_FreeRerolls,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1930492988,2020-04-29 18:08:12,2191.34765625,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930537563,2020-04-29 18:55:16,2024.90576171875,TFT3_GameVariation_Bonanza,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1932083293,2020-05-01 02:18:41,2071.391845703125,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930846998,2020-04-30 01:17:37,2056.112548828125,TFT3_GameVariation_FreeNeekos,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1927906356,2020-04-27 04:45:57,1908.8790283203125,TFT3_GameVariation_MidGameFoN,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
